"file","object_key","card_name","set_name","card_id"
"shop/001_Mimikyu-VMAX-Brilliant-Stars-Trainer-Gal_Brilliant-Stars-Trainer-Gallery.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/swsh9tg-TG17-1788976291111.jpg","Mimikyu VMAX - Brilliant Stars Trainer Gallery - TG17","Brilliant Stars Trainer Gallery","swsh9tg-TG17"
"shop/002_Hop-s-Wooloo-Journey-Together-170_Journey-Together.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv09-170-1788975323397.jpg","Hop's Wooloo - Journey Together - 170","Journey Together","sv09-170"
"shop/003_Duskull-Shrouded-Fable-068_Shrouded-Fable.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv06.5-068-1788975260828.jpg","Duskull - Shrouded Fable - 068","Shrouded Fable","sv06.5-068"
"shop/004_Tauros-Chaos-Rising-096_Chaos-Rising.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me04-096-1788974934028.jpg","Tauros - Chaos Rising - 096","Chaos Rising","me04-096"
"shop/005_Fraxure-Shrouded-Fable-077_Shrouded-Fable.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv06.5-077-1788976625252.jpg","Fraxure - Shrouded Fable - 077","Shrouded Fable","sv06.5-077"
"shop/006_Crobat-Chaos-Rising-093_Chaos-Rising.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me04-093-1788975444140.jpg","Crobat - Chaos Rising - 093","Chaos Rising","me04-093"
"shop/007_Conkeldurr-Black-Bolt-127_Black-Bolt.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv10.5b-127-1788974976479.jpg","Conkeldurr - Black Bolt - 127","Black Bolt","sv10.5b-127"
"shop/008_Boost-Energy-Aquapolis-145_Aquapolis.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/ecard2-145-1788974596133.jpg","Boost Energy - Aquapolis - 145","Aquapolis","ecard2-145"
"shop/009_Roaring-Moon-Prismatic-Evolutions-065_Prismatic-Evolutions.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv08.5-065-1788974534266.jpg","Roaring Moon - Prismatic Evolutions - 065","Prismatic Evolutions","sv08.5-065"
"shop/010_Ho-Oh-EX-Dragons-Exalted-22_Dragons-Exalted.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/bw6-22-1788974117918.jpg","Ho-Oh-EX - Dragons Exalted - 22","Dragons Exalted","bw6-22"
"shop/011_Ho-Oh-Chaos-Rising-010_Chaos-Rising.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me04-010-1788974065567.jpg","Ho-Oh - Chaos Rising - 010","Chaos Rising","me04-010"
"shop/012_Shining-Volcanion-Shining-Legends-27_Shining-Legends.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sm3.5-27-1788973891736.jpg","Shining Volcanion - Shining Legends - 27","Shining Legends","sm3.5-27"
"shop/013_Mega-Floette-ex-Chaos-Rising-101_Chaos-Rising.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me04-101-1788975472902.jpg","Mega Floette ex - Chaos Rising - 101","Chaos Rising","me04-101"
"shop/014_Beautifly-Ascended-Heroes-219_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-219-1788975123488.jpg","Beautifly - Ascended Heroes - 219","Ascended Heroes","me02.5-219"
"shop/015_Team-Rocket-s-Persian-ex-Destined-Rivals_Destined-Rivals.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv10-219-1788974007700.jpg","Team Rocket's Persian ex - Destined Rivals - 219","Destined Rivals","sv10-219"
"shop/016_Drakloak-Ascended-Heroes-248_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-248-1788973986437.jpg","Drakloak - Ascended Heroes - 248","Ascended Heroes","me02.5-248"
"shop/017_Mega-Slowbro-ex-Pitch-Black-031_Pitch-Black.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me05-031-1788975610227.jpg","Mega Slowbro ex - Pitch Black - 031","Pitch Black","me05-031"
"shop/018_Squirtle-Stellar-Crown-148_Stellar-Crown.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv07-148-1788975145322.jpg","Squirtle - Stellar Crown - 148","Stellar Crown","sv07-148"
"shop/019_Mewtwo-Base-Set-10_Base-Set.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/base1-10-1788975633088.jpg","Mewtwo - Base Set - 10","Base Set","base1-10"
"shop/020_Noibat-Journey-Together-169_Journey-Together.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv09-169-1788975171534.jpg","Noibat - Journey Together - 169","Journey Together","sv09-169"
"shop/021_Bloodmoon-Ursaluna-ex-Prismatic-Evolutio_Prismatic-Evolutions.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv08.5-168-1788974028826.jpg","Bloodmoon Ursaluna ex - Prismatic Evolutions - 168","Prismatic Evolutions","sv08.5-168"
"shop/022_Doublade-Perfect-Order-098_Perfect-Order.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me03-098-1788973873198.jpg","Doublade - Perfect Order - 098","Perfect Order","me03-098"
"shop/023_Vaporeon-Jungle-12_Jungle.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/base2-12-1788973444096.jpg","Vaporeon - Jungle - 12","Jungle","base2-12"
"shop/024_Jasmine-s-Gaze-Surging-Sparks-245_Surging-Sparks.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sv08-245-1788973376461.jpg","Jasmine's Gaze - Surging Sparks - 245","Surging Sparks","sv08-245"
"shop/025_Mega-Gengar-ex-Ascended-Heroes-269_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-269-1788973354326.jpg","Mega Gengar ex - Ascended Heroes - 269","Ascended Heroes","me02.5-269"
"shop/026_Mega-Emboar-ex-Ascended-Heroes-273_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-273-1788973325945.jpg","Mega Emboar ex - Ascended Heroes - 273","Ascended Heroes","me02.5-273"
"shop/027_Raichu-GX-Shining-Legends-29_Shining-Legends.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/sm3.5-29-1788973241960.jpg","Raichu GX - Shining Legends - 29","Shining Legends","sm3.5-29"
"shop/028_Shadowy-Darkness-Energy-Pitch-Black-083_Pitch-Black.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me05-083-1788960481212.jpg","Shadowy Darkness Energy - Pitch Black - 083","Pitch Black","me05-083"
"shop/029_Rowlet-Perfect-Order-090_Perfect-Order.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me03-090-1788975652718.jpg","Rowlet - Perfect Order - 090","Perfect Order","me03-090"
"shop/030_Charizard-Legendary-Treasures-19_Legendary-Treasures.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/bw11-19-1788975194987.jpg","Charizard - Legendary Treasures - 19","Legendary Treasures","bw11-19"
"shop/031_Ivysaur-Mega-Evolution-134_Mega-Evolution.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me01-134-1788974137168.jpg","Ivysaur - Mega Evolution - 134","Mega Evolution","me01-134"
"shop/032_Dreepy-Ascended-Heroes-247_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-247-1788973655716.jpg","Dreepy - Ascended Heroes - 247","Ascended Heroes","me02.5-247"
"shop/033_N-s-Reshiram-Ascended-Heroes-154_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-154-1788960498280.jpg","N's Reshiram - Ascended Heroes - 154","Ascended Heroes","me02.5-154"
"shop/034_Forest-of-Vitality-Ascended-Heroes-188_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-188-1788958602000.jpg","Forest of Vitality - Ascended Heroes - 188","Ascended Heroes","me02.5-188"
"shop/035_Vikavolt-Ascended-Heroes-066_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-066-1788957165077.jpg","Vikavolt - Ascended Heroes - 066","Ascended Heroes","me02.5-066"
"shop/036_Haunter-Ascended-Heroes-124_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-124-1788957077456.jpg","Haunter - Ascended Heroes - 124","Ascended Heroes","me02.5-124"
"shop/037_Togepi-Ascended-Heroes-080_Ascended-Heroes.jpg","https://rrkyvcouxdmurwdyuugv.supabase.co/storage/v1/object/public/shop-cards/me02.5-080-1788955629858.jpg","Togepi - Ascended Heroes - 080","Ascended Heroes","me02.5-080"
