#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1001,en-sve-004,sve-004,Lightning Energy,Scarlet & Violet Energy,004,24,Common,Lightning Energy Scarlet & Violet Energy 004/24 pokemon card,,,
1002,en-sve-005,sve-005,Psychic Energy,Scarlet & Violet Energy,005,24,Common,Psychic Energy Scarlet & Violet Energy 005/24 pokemon card,,,
1003,en-sve-006,sve-006,Fighting Energy,Scarlet & Violet Energy,006,24,Common,Fighting Energy Scarlet & Violet Energy 006/24 pokemon card,,,
1004,en-sve-007,sve-007,Darkness Energy,Scarlet & Violet Energy,007,24,Common,Darkness Energy Scarlet & Violet Energy 007/24 pokemon card,,,
1005,en-sve-008,sve-008,Metal Energy,Scarlet & Violet Energy,008,24,Common,Metal Energy Scarlet & Violet Energy 008/24 pokemon card,,,
1006,en-sve-009,sve-009,Grass Energy,Scarlet & Violet Energy,009,24,Common,Grass Energy Scarlet & Violet Energy 009/24 pokemon card,,,
1007,en-sve-010,sve-010,Fire Energy,Scarlet & Violet Energy,010,24,Common,Fire Energy Scarlet & Violet Energy 010/24 pokemon card,,,
1008,en-sve-011,sve-011,Water Energy,Scarlet & Violet Energy,011,24,Common,Water Energy Scarlet & Violet Energy 011/24 pokemon card,,,
1009,en-sve-012,sve-012,Lightning Energy,Scarlet & Violet Energy,012,24,Common,Lightning Energy Scarlet & Violet Energy 012/24 pokemon card,,,
1010,en-sve-013,sve-013,Psychic Energy,Scarlet & Violet Energy,013,24,Common,Psychic Energy Scarlet & Violet Energy 013/24 pokemon card,,,
1011,en-sve-014,sve-014,Fighting Energy,Scarlet & Violet Energy,014,24,Common,Fighting Energy Scarlet & Violet Energy 014/24 pokemon card,,,
1012,en-sve-015,sve-015,Darkness Energy,Scarlet & Violet Energy,015,24,Common,Darkness Energy Scarlet & Violet Energy 015/24 pokemon card,,,
1013,en-sve-016,sve-016,Metal Energy,Scarlet & Violet Energy,016,24,Common,Metal Energy Scarlet & Violet Energy 016/24 pokemon card,,,
1014,en-sve-017,sve-017,Grass Energy,Scarlet & Violet Energy,017,24,Common,Grass Energy Scarlet & Violet Energy 017/24 pokemon card,,,
1015,en-sve-018,sve-018,Fire Energy,Scarlet & Violet Energy,018,24,Common,Fire Energy Scarlet & Violet Energy 018/24 pokemon card,,,
1016,en-sve-019,sve-019,Water Energy,Scarlet & Violet Energy,019,24,Common,Water Energy Scarlet & Violet Energy 019/24 pokemon card,,,
1017,en-sve-020,sve-020,Lightning Energy,Scarlet & Violet Energy,020,24,Common,Lightning Energy Scarlet & Violet Energy 020/24 pokemon card,,,
1018,en-sve-021,sve-021,Psychic Energy,Scarlet & Violet Energy,021,24,Common,Psychic Energy Scarlet & Violet Energy 021/24 pokemon card,,,
1019,en-sve-022,sve-022,Fighting Energy,Scarlet & Violet Energy,022,24,Common,Fighting Energy Scarlet & Violet Energy 022/24 pokemon card,,,
1020,en-sve-023,sve-023,Darkness Energy,Scarlet & Violet Energy,023,24,Common,Darkness Energy Scarlet & Violet Energy 023/24 pokemon card,,,
1021,en-sve-024,sve-024,Metal Energy,Scarlet & Violet Energy,024,24,Common,Metal Energy Scarlet & Violet Energy 024/24 pokemon card,,,
1022,en-swsh4.5sv-SV001,swsh4.5sv-SV001,Rowlet,Shining Fates Shiny Vault,SV001,122,Shiny rare,Rowlet Shining Fates Shiny Vault SV001/122 pokemon card,,,
