#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1501,en-tk-xy-sy-15,tk-xy-sy-15,Sylveon,XY trainer Kit (Sylveon),15,30,None,Sylveon XY trainer Kit (Sylveon) 15/30 pokemon card,,,
1502,en-tk-xy-sy-16,tk-xy-sy-16,Furfrou,XY trainer Kit (Sylveon),16,30,Common,Furfrou XY trainer Kit (Sylveon) 16/30 pokemon card,,,
1503,en-tk-xy-sy-17,tk-xy-sy-17,Fairy Energy,XY trainer Kit (Sylveon),17,30,Common,Fairy Energy XY trainer Kit (Sylveon) 17/30 pokemon card,,,
1504,en-tk-xy-sy-18,tk-xy-sy-18,Fairy Energy,XY trainer Kit (Sylveon),18,30,Common,Fairy Energy XY trainer Kit (Sylveon) 18/30 pokemon card,,,
1505,en-tk-xy-sy-19,tk-xy-sy-19,Fletchling,XY trainer Kit (Sylveon),19,30,Common,Fletchling XY trainer Kit (Sylveon) 19/30 pokemon card,,,
1506,en-tk-xy-sy-2,tk-xy-sy-2,Fairy Energy,XY trainer Kit (Sylveon),2,30,Common,Fairy Energy XY trainer Kit (Sylveon) 2/30 pokemon card,,,
1507,en-tk-xy-sy-20,tk-xy-sy-20,Potion,XY trainer Kit (Sylveon),20,30,Common,Potion XY trainer Kit (Sylveon) 20/30 pokemon card,,,
1508,en-tk-xy-sy-21,tk-xy-sy-21,Eevee,XY trainer Kit (Sylveon),21,30,Common,Eevee XY trainer Kit (Sylveon) 21/30 pokemon card,,,
1509,en-tk-xy-sy-22,tk-xy-sy-22,Furfrou,XY trainer Kit (Sylveon),22,30,Common,Furfrou XY trainer Kit (Sylveon) 22/30 pokemon card,,,
1510,en-tk-xy-sy-23,tk-xy-sy-23,Pokémon Catcher,XY trainer Kit (Sylveon),23,30,Uncommon,Pokémon Catcher XY trainer Kit (Sylveon) 23/30 pokemon card,,,
1511,en-tk-xy-sy-24,tk-xy-sy-24,Potion,XY trainer Kit (Sylveon),24,30,Common,Potion XY trainer Kit (Sylveon) 24/30 pokemon card,,,
1512,en-tk-xy-sy-25,tk-xy-sy-25,Fairy Energy,XY trainer Kit (Sylveon),25,30,Common,Fairy Energy XY trainer Kit (Sylveon) 25/30 pokemon card,,,
1513,en-tk-xy-sy-26,tk-xy-sy-26,Poké Ball,XY trainer Kit (Sylveon),26,30,Uncommon,Poké Ball XY trainer Kit (Sylveon) 26/30 pokemon card,,,
1514,en-tk-xy-sy-27,tk-xy-sy-27,Snubbull,XY trainer Kit (Sylveon),27,30,Common,Snubbull XY trainer Kit (Sylveon) 27/30 pokemon card,,,
1515,en-tk-xy-sy-28,tk-xy-sy-28,Professor’s Letter,XY trainer Kit (Sylveon),28,30,Uncommon,Professor’s Letter XY trainer Kit (Sylveon) 28/30 pokemon card,,,
1516,en-tk-xy-sy-29,tk-xy-sy-29,Granbull,XY trainer Kit (Sylveon),29,30,Common,Granbull XY trainer Kit (Sylveon) 29/30 pokemon card,,,
1517,en-tk-xy-sy-3,tk-xy-sy-3,Fairy Energy,XY trainer Kit (Sylveon),3,30,Common,Fairy Energy XY trainer Kit (Sylveon) 3/30 pokemon card,,,
1518,en-tk-xy-sy-30,tk-xy-sy-30,Sylveon,XY trainer Kit (Sylveon),30,30,None,Sylveon XY trainer Kit (Sylveon) 30/30 pokemon card,,,
1519,en-tk-xy-sy-4,tk-xy-sy-4,Switch,XY trainer Kit (Sylveon),4,30,Common,Switch XY trainer Kit (Sylveon) 4/30 pokemon card,,,
1520,en-tk-xy-sy-5,tk-xy-sy-5,Fairy Energy,XY trainer Kit (Sylveon),5,30,Common,Fairy Energy XY trainer Kit (Sylveon) 5/30 pokemon card,,,
1521,en-tk-xy-sy-6,tk-xy-sy-6,Fairy Energy,XY trainer Kit (Sylveon),6,30,Common,Fairy Energy XY trainer Kit (Sylveon) 6/30 pokemon card,,,
1522,en-tk-xy-sy-7,tk-xy-sy-7,Fairy Energy,XY trainer Kit (Sylveon),7,30,Common,Fairy Energy XY trainer Kit (Sylveon) 7/30 pokemon card,,,
1523,en-tk-xy-sy-8,tk-xy-sy-8,Fairy Energy,XY trainer Kit (Sylveon),8,30,Common,Fairy Energy XY trainer Kit (Sylveon) 8/30 pokemon card,,,
1524,en-tk-xy-sy-9,tk-xy-sy-9,Fairy Energy,XY trainer Kit (Sylveon),9,30,Common,Fairy Energy XY trainer Kit (Sylveon) 9/30 pokemon card,,,
