#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
751,en-2023sv-14,2023sv-14,Cyclizar,McDonald's Collection 2023,14,15,None,Cyclizar McDonald's Collection 2023 14/15 pokemon card,,,
752,en-2023sv-15,2023sv-15,Kirlia,McDonald's Collection 2023,15,15,None,Kirlia McDonald's Collection 2023 15/15 pokemon card,,,
753,en-2023sv-2,2023sv-2,Fuecoco,McDonald's Collection 2023,2,15,None,Fuecoco McDonald's Collection 2023 2/15 pokemon card,,,
754,en-2023sv-3,2023sv-3,Quaxly,McDonald's Collection 2023,3,15,None,Quaxly McDonald's Collection 2023 3/15 pokemon card,,,
755,en-2023sv-4,2023sv-4,Cetoddle,McDonald's Collection 2023,4,15,None,Cetoddle McDonald's Collection 2023 4/15 pokemon card,,,
756,en-2023sv-5,2023sv-5,Cetitan,McDonald's Collection 2023,5,15,None,Cetitan McDonald's Collection 2023 5/15 pokemon card,,,
757,en-2023sv-6,2023sv-6,Pikachu,McDonald's Collection 2023,6,15,None,Pikachu McDonald's Collection 2023 6/15 pokemon card,,,
758,en-2023sv-7,2023sv-7,Pawmi,McDonald's Collection 2023,7,15,None,Pawmi McDonald's Collection 2023 7/15 pokemon card,,,
759,en-2023sv-8,2023sv-8,Kilowattrel,McDonald's Collection 2023,8,15,None,Kilowattrel McDonald's Collection 2023 8/15 pokemon card,,,
760,en-2023sv-9,2023sv-9,Flittle,McDonald's Collection 2023,9,15,None,Flittle McDonald's Collection 2023 9/15 pokemon card,,,
761,en-2024sv-1,2024sv-1,Charizard,McDonald's Collection 2024,1,15,None,Charizard McDonald's Collection 2024 1/15 pokemon card,,,
762,en-2024sv-10,2024sv-10,Hydreigon,McDonald's Collection 2024,10,15,None,Hydreigon McDonald's Collection 2024 10/15 pokemon card,,,
763,en-2024sv-11,2024sv-11,Roaring Moon,McDonald's Collection 2024,11,15,None,Roaring Moon McDonald's Collection 2024 11/15 pokemon card,,,
764,en-2024sv-12,2024sv-12,Dragonite,McDonald's Collection 2024,12,15,None,Dragonite McDonald's Collection 2024 12/15 pokemon card,,,
765,en-2024sv-13,2024sv-13,Eevee,McDonald's Collection 2024,13,15,None,Eevee McDonald's Collection 2024 13/15 pokemon card,,,
766,en-2024sv-14,2024sv-14,Rayquaza,McDonald's Collection 2024,14,15,None,Rayquaza McDonald's Collection 2024 14/15 pokemon card,,,
767,en-2024sv-15,2024sv-15,Drampa,McDonald's Collection 2024,15,15,None,Drampa McDonald's Collection 2024 15/15 pokemon card,,,
768,en-2024sv-2,2024sv-2,Pikachu,McDonald's Collection 2024,2,15,None,Pikachu McDonald's Collection 2024 2/15 pokemon card,,,
769,en-2024sv-3,2024sv-3,Miraidon,McDonald's Collection 2024,3,15,None,Miraidon McDonald's Collection 2024 3/15 pokemon card,,,
770,en-2024sv-4,2024sv-4,Jigglypuff,McDonald's Collection 2024,4,15,None,Jigglypuff McDonald's Collection 2024 4/15 pokemon card,,,
771,en-2024sv-5,2024sv-5,Hatenna,McDonald's Collection 2024,5,15,None,Hatenna McDonald's Collection 2024 5/15 pokemon card,,,
772,en-2024sv-6,2024sv-6,Dragapult,McDonald's Collection 2024,6,15,None,Dragapult McDonald's Collection 2024 6/15 pokemon card,,,
773,en-2024sv-7,2024sv-7,Quagsire,McDonald's Collection 2024,7,15,None,Quagsire McDonald's Collection 2024 7/15 pokemon card,,,
774,en-2024sv-8,2024sv-8,Koraidon,McDonald's Collection 2024,8,15,None,Koraidon McDonald's Collection 2024 8/15 pokemon card,,,
775,en-2024sv-9,2024sv-9,Umbreon,McDonald's Collection 2024,9,15,None,Umbreon McDonald's Collection 2024 9/15 pokemon card,,,
776,en-mee-001,mee-001,Grass Energy,Mega Evolution Energy,001,8,Common,Grass Energy Mega Evolution Energy 001/8 pokemon card,,,
777,en-mee-002,mee-002,Fire Energy,Mega Evolution Energy,002,8,Common,Fire Energy Mega Evolution Energy 002/8 pokemon card,,,
778,en-mee-003,mee-003,Water Energy,Mega Evolution Energy,003,8,Common,Water Energy Mega Evolution Energy 003/8 pokemon card,,,
