#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
251,en-swsh12.5gg-GG52,swsh12.5gg-GG52,Hisuian Samurott VSTAR,Crown Zenith Galarian Gallery,GG52,70,Ultra Rare,Hisuian Samurott VSTAR Crown Zenith Galarian Gallery GG52/70 pokemon card,,,
252,en-swsh12.5gg-GG53,swsh12.5gg-GG53,Hoopa V,Crown Zenith Galarian Gallery,GG53,70,Ultra Rare,Hoopa V Crown Zenith Galarian Gallery GG53/70 pokemon card,,,
253,en-swsh12.5gg-GG54,swsh12.5gg-GG54,Zamazenta V,Crown Zenith Galarian Gallery,GG54,70,Ultra Rare,Zamazenta V Crown Zenith Galarian Gallery GG54/70 pokemon card,,,
254,en-swsh12.5gg-GG55,swsh12.5gg-GG55,Regigigas VSTAR,Crown Zenith Galarian Gallery,GG55,70,Ultra Rare,Regigigas VSTAR Crown Zenith Galarian Gallery GG55/70 pokemon card,,,
255,en-swsh12.5gg-GG56,swsh12.5gg-GG56,Hisuian Zoroark VSTAR,Crown Zenith Galarian Gallery,GG56,70,Ultra Rare,Hisuian Zoroark VSTAR Crown Zenith Galarian Gallery GG56/70 pokemon card,,,
256,en-swsh12.5gg-GG57,swsh12.5gg-GG57,Adaman,Crown Zenith Galarian Gallery,GG57,70,Ultra Rare,Adaman Crown Zenith Galarian Gallery GG57/70 pokemon card,,,
257,en-swsh12.5gg-GG58,swsh12.5gg-GG58,Cheren's Care,Crown Zenith Galarian Gallery,GG58,70,Ultra Rare,Cheren's Care Crown Zenith Galarian Gallery GG58/70 pokemon card,,,
258,en-swsh12.5gg-GG59,swsh12.5gg-GG59,Colress's Experiment,Crown Zenith Galarian Gallery,GG59,70,Ultra Rare,Colress's Experiment Crown Zenith Galarian Gallery GG59/70 pokemon card,,,
259,en-swsh12.5gg-GG60,swsh12.5gg-GG60,Cynthia's Ambition,Crown Zenith Galarian Gallery,GG60,70,Ultra Rare,Cynthia's Ambition Crown Zenith Galarian Gallery GG60/70 pokemon card,,,
260,en-swsh12.5gg-GG61,swsh12.5gg-GG61,Gardenia's Vigor,Crown Zenith Galarian Gallery,GG61,70,Ultra Rare,Gardenia's Vigor Crown Zenith Galarian Gallery GG61/70 pokemon card,,,
261,en-swsh12.5gg-GG62,swsh12.5gg-GG62,Grant,Crown Zenith Galarian Gallery,GG62,70,Ultra Rare,Grant Crown Zenith Galarian Gallery GG62/70 pokemon card,,,
262,en-swsh12.5gg-GG63,swsh12.5gg-GG63,Irida,Crown Zenith Galarian Gallery,GG63,70,Ultra Rare,Irida Crown Zenith Galarian Gallery GG63/70 pokemon card,,,
263,en-swsh12.5gg-GG64,swsh12.5gg-GG64,Melony,Crown Zenith Galarian Gallery,GG64,70,Ultra Rare,Melony Crown Zenith Galarian Gallery GG64/70 pokemon card,,,
264,en-swsh12.5gg-GG65,swsh12.5gg-GG65,Raihan,Crown Zenith Galarian Gallery,GG65,70,Ultra Rare,Raihan Crown Zenith Galarian Gallery GG65/70 pokemon card,,,
265,en-swsh12.5gg-GG66,swsh12.5gg-GG66,Roxanne,Crown Zenith Galarian Gallery,GG66,70,Ultra Rare,Roxanne Crown Zenith Galarian Gallery GG66/70 pokemon card,,,
266,en-swsh12.5gg-GG67,swsh12.5gg-GG67,Origin Forme Palkia VSTAR,Crown Zenith Galarian Gallery,GG67,70,Secret Rare,Origin Forme Palkia VSTAR Crown Zenith Galarian Gallery GG67/70 pokemon card,,,
267,en-swsh12.5gg-GG68,swsh12.5gg-GG68,Origin Forme Dialga VSTAR,Crown Zenith Galarian Gallery,GG68,70,Secret Rare,Origin Forme Dialga VSTAR Crown Zenith Galarian Gallery GG68/70 pokemon card,,,
268,en-swsh12.5gg-GG69,swsh12.5gg-GG69,Giratina VSTAR,Crown Zenith Galarian Gallery,GG69,70,Secret Rare,Giratina VSTAR Crown Zenith Galarian Gallery GG69/70 pokemon card,,,
269,en-swsh12.5gg-GG70,swsh12.5gg-GG70,Arceus VSTAR,Crown Zenith Galarian Gallery,GG70,70,Secret Rare,Arceus VSTAR Crown Zenith Galarian Gallery GG70/70 pokemon card,,,
270,en-tk-dp-l-1,tk-dp-l-1,Geodude,DP trainer Kit (Lucario),1,11,None,Geodude DP trainer Kit (Lucario) 1/11 pokemon card,,,
271,en-tk-dp-l-10,tk-dp-l-10,Quick Ball,DP trainer Kit (Lucario),10,11,None,Quick Ball DP trainer Kit (Lucario) 10/11 pokemon card,,,
272,en-tk-dp-l-11,tk-dp-l-11,Fighting Energy,DP trainer Kit (Lucario),11,11,None,Fighting Energy DP trainer Kit (Lucario) 11/11 pokemon card,,,
273,en-tk-dp-l-2,tk-dp-l-2,Graveler,DP trainer Kit (Lucario),2,11,None,Graveler DP trainer Kit (Lucario) 2/11 pokemon card,,,
274,en-tk-dp-l-3,tk-dp-l-3,Lucario,DP trainer Kit (Lucario),3,11,None,Lucario DP trainer Kit (Lucario) 3/11 pokemon card,,,
275,en-tk-dp-l-4,tk-dp-l-4,Machoke,DP trainer Kit (Lucario),4,11,None,Machoke DP trainer Kit (Lucario) 4/11 pokemon card,,,
276,en-tk-dp-l-5,tk-dp-l-5,Machop,DP trainer Kit (Lucario),5,11,None,Machop DP trainer Kit (Lucario) 5/11 pokemon card,,,
277,en-tk-dp-l-6,tk-dp-l-6,Riolu,DP trainer Kit (Lucario),6,11,None,Riolu DP trainer Kit (Lucario) 6/11 pokemon card,,,
278,en-tk-dp-l-7,tk-dp-l-7,Starly,DP trainer Kit (Lucario),7,11,None,Starly DP trainer Kit (Lucario) 7/11 pokemon card,,,
279,en-tk-dp-l-8,tk-dp-l-8,Energy Search,DP trainer Kit (Lucario),8,11,None,Energy Search DP trainer Kit (Lucario) 8/11 pokemon card,,,
280,en-tk-dp-l-9,tk-dp-l-9,Potion,DP trainer Kit (Lucario),9,11,None,Potion DP trainer Kit (Lucario) 9/11 pokemon card,,,
281,en-tk-dp-m-1,tk-dp-m-1,Buizel,DP trainer Kit (Manaphy),1,12,None,Buizel DP trainer Kit (Manaphy) 1/12 pokemon card,,,
282,en-tk-dp-m-10,tk-dp-m-10,Energy Search,DP trainer Kit (Manaphy),10,12,None,Energy Search DP trainer Kit (Manaphy) 10/12 pokemon card,,,
283,en-tk-dp-m-11,tk-dp-m-11,Potion,DP trainer Kit (Manaphy),11,12,None,Potion DP trainer Kit (Manaphy) 11/12 pokemon card,,,
284,en-tk-dp-m-12,tk-dp-m-12,Water Energy,DP trainer Kit (Manaphy),12,12,None,Water Energy DP trainer Kit (Manaphy) 12/12 pokemon card,,,
285,en-tk-dp-m-2,tk-dp-m-2,Floatzel,DP trainer Kit (Manaphy),2,12,None,Floatzel DP trainer Kit (Manaphy) 2/12 pokemon card,,,
286,en-tk-dp-m-3,tk-dp-m-3,Goldeen,DP trainer Kit (Manaphy),3,12,None,Goldeen DP trainer Kit (Manaphy) 3/12 pokemon card,,,
287,en-tk-dp-m-4,tk-dp-m-4,Manaphy,DP trainer Kit (Manaphy),4,12,None,Manaphy DP trainer Kit (Manaphy) 4/12 pokemon card,,,
288,en-tk-dp-m-5,tk-dp-m-5,Piplup,DP trainer Kit (Manaphy),5,12,None,Piplup DP trainer Kit (Manaphy) 5/12 pokemon card,,,
289,en-tk-dp-m-6,tk-dp-m-6,Prinplup,DP trainer Kit (Manaphy),6,12,None,Prinplup DP trainer Kit (Manaphy) 6/12 pokemon card,,,
290,en-tk-dp-m-7,tk-dp-m-7,Seaking,DP trainer Kit (Manaphy),7,12,None,Seaking DP trainer Kit (Manaphy) 7/12 pokemon card,,,
291,en-tk-dp-m-8,tk-dp-m-8,Totodile,DP trainer Kit (Manaphy),8,12,None,Totodile DP trainer Kit (Manaphy) 8/12 pokemon card,,,
292,en-tk-dp-m-9,tk-dp-m-9,Dusk Ball,DP trainer Kit (Manaphy),9,12,None,Dusk Ball DP trainer Kit (Manaphy) 9/12 pokemon card,,,
293,en-sm7.5-1,sm7.5-1,Charmander,Dragon Majesty,1,70,Common,Charmander Dragon Majesty 1/70 pokemon card,,,
294,en-sm7.5-10,sm7.5-10,Heatmor,Dragon Majesty,10,70,Uncommon,Heatmor Dragon Majesty 10/70 pokemon card,,,
295,en-sm7.5-11,sm7.5-11,Reshiram GX,Dragon Majesty,11,70,Ultra Rare,Reshiram GX Dragon Majesty 11/70 pokemon card,,,
296,en-sm7.5-12,sm7.5-12,Litten,Dragon Majesty,12,70,Common,Litten Dragon Majesty 12/70 pokemon card,,,
297,en-sm7.5-13,sm7.5-13,Salandit,Dragon Majesty,13,70,Common,Salandit Dragon Majesty 13/70 pokemon card,,,
298,en-sm7.5-14,sm7.5-14,Salazzle,Dragon Majesty,14,70,Uncommon,Salazzle Dragon Majesty 14/70 pokemon card,,,
299,en-sm7.5-15,sm7.5-15,Horsea,Dragon Majesty,15,70,Common,Horsea Dragon Majesty 15/70 pokemon card,,,
300,en-sm7.5-16,sm7.5-16,Horsea,Dragon Majesty,16,70,Common,Horsea Dragon Majesty 16/70 pokemon card,,,
301,en-sm7.5-17,sm7.5-17,Seadra,Dragon Majesty,17,70,Uncommon,Seadra Dragon Majesty 17/70 pokemon card,,,
302,en-sm7.5-18,sm7.5-18,Kingdra GX,Dragon Majesty,18,70,Ultra Rare,Kingdra GX Dragon Majesty 18/70 pokemon card,,,
303,en-sm7.5-19,sm7.5-19,Magikarp,Dragon Majesty,19,70,Common,Magikarp Dragon Majesty 19/70 pokemon card,,,
304,en-sm7.5-2,sm7.5-2,Charmeleon,Dragon Majesty,2,70,Uncommon,Charmeleon Dragon Majesty 2/70 pokemon card,,,
305,en-sm7.5-20,sm7.5-20,Gyarados,Dragon Majesty,20,70,Rare,Gyarados Dragon Majesty 20/70 pokemon card,,,
306,en-sm7.5-21,sm7.5-21,Lapras,Dragon Majesty,21,70,Uncommon,Lapras Dragon Majesty 21/70 pokemon card,,,
307,en-sm7.5-22,sm7.5-22,Totodile,Dragon Majesty,22,70,Common,Totodile Dragon Majesty 22/70 pokemon card,,,
308,en-sm7.5-23,sm7.5-23,Croconaw,Dragon Majesty,23,70,Uncommon,Croconaw Dragon Majesty 23/70 pokemon card,,,
309,en-sm7.5-24,sm7.5-24,Feraligatr,Dragon Majesty,24,70,Rare,Feraligatr Dragon Majesty 24/70 pokemon card,,,
310,en-sm7.5-25,sm7.5-25,Wooper,Dragon Majesty,25,70,Common,Wooper Dragon Majesty 25/70 pokemon card,,,
311,en-sm7.5-26,sm7.5-26,Quagsire,Dragon Majesty,26,70,Uncommon,Quagsire Dragon Majesty 26/70 pokemon card,,,
312,en-sm7.5-27,sm7.5-27,Corsola,Dragon Majesty,27,70,Common,Corsola Dragon Majesty 27/70 pokemon card,,,
313,en-sm7.5-28,sm7.5-28,Feebas,Dragon Majesty,28,70,Common,Feebas Dragon Majesty 28/70 pokemon card,,,
314,en-sm7.5-29,sm7.5-29,Milotic,Dragon Majesty,29,70,Uncommon,Milotic Dragon Majesty 29/70 pokemon card,,,
315,en-sm7.5-3,sm7.5-3,Charizard,Dragon Majesty,3,70,Rare,Charizard Dragon Majesty 3/70 pokemon card,,,
316,en-sm7.5-30,sm7.5-30,Phione,Dragon Majesty,30,70,Uncommon,Phione Dragon Majesty 30/70 pokemon card,,,
317,en-sm7.5-31,sm7.5-31,Wishiwashi,Dragon Majesty,31,70,Common,Wishiwashi Dragon Majesty 31/70 pokemon card,,,
318,en-sm7.5-32,sm7.5-32,Trapinch,Dragon Majesty,32,70,Common,Trapinch Dragon Majesty 32/70 pokemon card,,,
319,en-sm7.5-33,sm7.5-33,Hydreigon,Dragon Majesty,33,70,Rare,Hydreigon Dragon Majesty 33/70 pokemon card,,,
320,en-sm7.5-34,sm7.5-34,Dratini,Dragon Majesty,34,70,Common,Dratini Dragon Majesty 34/70 pokemon card,,,
321,en-sm7.5-35,sm7.5-35,Dratini,Dragon Majesty,35,70,Common,Dratini Dragon Majesty 35/70 pokemon card,,,
322,en-sm7.5-36,sm7.5-36,Dragonair,Dragon Majesty,36,70,Uncommon,Dragonair Dragon Majesty 36/70 pokemon card,,,
323,en-sm7.5-37,sm7.5-37,Dragonite GX,Dragon Majesty,37,70,Ultra Rare,Dragonite GX Dragon Majesty 37/70 pokemon card,,,
324,en-sm7.5-38,sm7.5-38,Vibrava,Dragon Majesty,38,70,Common,Vibrava Dragon Majesty 38/70 pokemon card,,,
